,type,datetime,tip,mlid,mw_connection_no,site_id,neid,direction,polarization,card_type,adaptive_modulation,freq_band,link_length,severaly_error_second,error_second,unavail_second,avail_time,bbe,rxlevmax,scalibility_score,capacity,modulation,rlf
113,ENK,2019-01-02 00:00:00,NEAR,R2XT,279826,RL_IBBCP,,,,cardtype2,Enable,f3,,0,0,0,86400,0,-33.8,,150,128QAM,FALSE
114,NEC,2019-01-02 00:00:00,NEAR,R3GT,1362635,RL_IBBEP,,,,cardtype5,Enable,f5,,0,0,0,86400,0,-21.6,,407,512QAM,FALSE
115,ENK,2019-01-02 00:00:00,NEAR,R2PA,307212,RL_IBBIJ,10073,Near End,,cardtype1,Enable,f5,,0,0,0,36000,0,-39.8,0,406,512QAM,FALSE
116,ENK,2019-01-02 00:00:00,NEAR,R2IF,229466,RL_IBBJB,,,,cardtype2,Enable,f5,,0,0,0,86400,0,-37.6,,44,16QAM,FALSE
117,NEC,2019-01-02 00:00:00,NEAR,R3BD,338477,RL_IBBKR,,,,cardtype5,Enable,f5,,0,0,0,86400,0,-33.6,,407,512QAM,FALSE
118,ENK,2019-01-02 00:00:00,NEAR,R2MD,355256,RL_IBBMV,,,,cardtype2,Disable,f3,,0,0,0,86400,0,-39.8,,154,128QAM,FALSE
119,ENK,2019-01-02 00:00:00,NEAR,R2OB,146500,RL_IBBP>,7824,Near End,,cardtype4,Enable,f3,,0,1,0,86400,2,-38.2,0,406,512QAM,FALSE
120,ENK,2019-01-02 00:00:00,FAR,R2WF,1345911,RL_IBBQF,9643,Near End,,cardtype1,Enable,f3,,0,0,0,36000,0,-39.5,0,84,256QAM,FALSE
121,NEC,2019-01-02 00:00:00,NEAR,R3IM,344665,RL_IBBQF,,,,cardtype5,Enable,f4,,0,0,0,86400,0,-34,,407,512QAM,FALSE
122,ENK,2019-01-02 00:00:00,FAR,R2LR,351210,RL_IBBQR,,,,cardtype2,Enable,f3,,0,0,0,86400,0,-33.5,,72,128QAM,FALSE
123,ENK,2019-01-02 00:00:00,NEAR,R2NC,340799,RL_IBBQR,7856,Near End,,cardtype1,Enable,f3,,0,0,0,86400,0,-39.8,0.00523,369,256QAM,FALSE
124,ENK,2019-01-02 00:00:00,NEAR,R2LS,353828,RL_IBBRB,9482,Near End,,cardtype4,Enable,f3,,0,0,0,86400,0,-35.4,0,84,256QAM,FALSE
125,ENK,2019-01-02 00:00:00,FAR,R2GM,300456,RL_IBBRF,7868,Near End,,cardtype1,Enable,f3,,0,0,0,86400,0,-27.2,0,406,512QAM,FALSE
126,NEC,2019-01-02 00:00:00,FAR,R3OK,1365714,RL_IBBRF,,,,cardtype5,Enable,f3,,0,0,0,86400,0,-21,,407,512QAM,FALSE
127,ENK,2019-01-02 00:00:00,NEAR,R3AE,325120,RL_IBBT/,7821,Near End,,cardtype4,Enable,f5,,0,0,0,86400,0,-37.6,0.00198,180,256QAM,FALSE
128,NEC,2019-01-02 00:00:00,FAR,R2SC,351884,RL_IBBTP,,,,cardtype5,Enable,f5,,0,0,0,86400,0,-39.7,,447,1024 QAM,FALSE
129,ENK,2019-01-02 00:00:00,FAR,R2SV,330969,RL_IBBTP,8602,Near End,,cardtype1,Enable,f5,,0,0,0,86400,0,-39.8,0,160,128QAM,FALSE
130,ENK,2019-01-02 00:00:00,FAR,R2SX,342043,RL_IBBTP,8602,Near End,,cardtype4,Enable,f3,,0,0,0,86400,0,-39.8,0,180,256QAM,FALSE
131,NEC,2019-01-02 00:00:00,FAR,R3OB,353246,RL_IBBTP,,,,cardtype5,Enable,f4,,0,0,0,86400,0,-30.9,,407,512QAM,FALSE
132,ENK,2019-01-02 00:00:00,NEAR,R3PG,343121,RL_IBBTP,8602,Near End,,cardtype4,Enable,f2,,0,0,0,86400,0,-40.1,0.00986,200,512QAM(QO),FALSE
133,ENK,2019-01-02 00:00:00,NEAR,R3PH,343120,RL_IBBTP,8602,Near End,,cardtype4,Enable,f2,,0,7,0,86400,16,-43.2,0.0085,200,512QAM(QO),FALSE
134,NEC,2019-01-02 00:00:00,FAR,R3WB,353246,RL_IBBTP,,,,cardtype5,Enable,f4,,0,0,0,86400,0,-30.9,,407,512QAM,FALSE
135,NEC,2019-01-02 00:00:00,NEAR,R6OH,340548,RL_IBBTP,,,,cardtype5,Enable,f3,,0,0,0,86400,0,-29.7,,407,512QAM,FALSE
136,NEC,2019-01-02 00:00:00,NEAR,R6OI,340548,RL_IBBTP,,,,cardtype5,Enable,f3,,0,0,0,86400,0,-29.7,,407,512QAM,FALSE
137,ENK,2019-01-02 00:00:00,FAR,R2AM,348495,RL_IBBTV,7802,Near End,,cardtype4,Enable,f3,,8,99,0,86400,703,-32.5,0.32283,406,512QAM(QO),FALSE
138,NEC,2019-01-02 00:00:00,NEAR,R2EH,286317,RL_IBBWB,,,,cardtype5,Enable,f3,,0,0,0,86400,0,-28.4,,407,512QAM,FALSE
139,NEC,2019-01-02 00:00:00,FAR,R2JE,1344612,RL_IBBWB,,,,cardtype5,Enable,f3,,0,0,0,86400,0,-38.7,,407,512QAM,FALSE
140,NEC,2019-01-02 00:00:00,NEAR,R2LV,286317,RL_IBBWB,,,,cardtype5,Enable,f3,,0,0,0,86400,0,-28.4,,407,512QAM,FALSE
141,NEC,2019-01-02 00:00:00,FAR,R2XO,1344612,RL_IBBWB,,,,cardtype5,Enable,f3,,0,0,0,86400,0,-38.7,,407,512QAM,FALSE
142,ENK,2019-01-02 00:00:00,NEAR,R2JV,259487,RL_IBBXR,7933,Near End,,cardtype4,Enable,f3,,0,1,0,86400,13,-30,0,369,256QAM,FALSE
143,NEC,2019-01-02 00:00:00,FAR,R2LF,352828,RL_IBC@E,,,,cardtype5,Enable,f5,,0,1,0,86400,2,-40,,257,512QAM,FALSE
144,ENK,2019-01-02 00:00:00,FAR,R2MX,1344455,RL_IBC@E,9198,Near End,,cardtype1,Enable,f3,,0,15,0,86400,64,-39.5,0.17666,406,512QAM,FALSE
145,NEC,2019-01-02 00:00:00,NEAR,R2NP,1347939,RL_IBC@E,,,,cardtype5,Enable,f3,,0,0,0,86400,0,-27.4,,407,512QAM,FALSE
146,NEC,2019-01-02 00:00:00,NEAR,R2WP,1347939,RL_IBC@E,,,,cardtype5,Enable,f3,,0,0,0,86400,0,-27.4,,407,512QAM,FALSE
147,NEC,2019-01-02 00:00:00,FAR,R2XE,353916,RL_IBC@E,,,,cardtype5,Enable,f5,,0,0,0,86400,0,-38.4,,257,512QAM,FALSE
148,ENK,2019-01-02 00:00:00,NEAR,R2AH,343415,RL_IBCCA,8738,Near End,,cardtype4,Enable,f2,,0,0,0,86400,0,-48.5,0,182,256QAM,FALSE
149,ENK,2019-01-02 00:00:00,FAR,R2UV,350866,RL_IBCIE,,,,cardtype4,Disable,f4,,0,0,0,86400,0,-38.2,,406,512QAM(QO),FALSE
150,NEC,2019-01-02 00:00:00,NEAR,R3AI,311221,RL_IBCIE,,,,cardtype5,Enable,f5,,0,0,0,86400,0,-36.8,,447,1024 QAM,FALSE
151,NEC,2019-01-02 00:00:00,NEAR,R3AN,311221,RL_IBCIE,,,,cardtype5,Enable,f5,,0,0,0,86400,0,-36.8,,447,1024 QAM,FALSE
152,NEC,2019-01-02 00:00:00,FAR,R3LG,1361732,RL_IBCIE,,,,cardtype5,Enable,f3,,0,0,0,86400,0,-28.9,,407,512QAM,FALSE
153,NEC,2019-01-02 00:00:00,FAR,R3QG,1361732,RL_IBCIE,,,,cardtype5,Enable,f3,,0,0,0,86400,0,-28.9,,407,512QAM,FALSE
154,ENK,2019-01-02 00:00:00,NEAR,R2EG,313710,RL_IBD?K,7820,Near End,,cardtype4,Enable,f3,,0,0,0,86400,0,-35.7,0.00725,406,512QAM(QO),FALSE
155,ENK,2019-01-02 00:00:00,FAR,R2JT,352811,RL_IBD?K,7820,Near End,,cardtype4,Enable,f3,,0,0,0,86400,0,-39.5,0,406,512QAM,FALSE
156,ENK,2019-01-02 00:00:00,NEAR,R2WA,309419,RL_IBDCS,7803,Near End,,cardtype1,Enable,f5,,0,0,0,86400,0,-39.8,0,406,512QAM,FALSE
157,ENK,2019-01-02 00:00:00,FAR,R2GL,305087,RL_IBDGH,,,,cardtype1,Enable,f5,,0,0,0,86400,0,-38.2,,406,512QAM(QO),FALSE
158,ENK,2019-01-02 00:00:00,FAR,R2MT,207774,RL_IBDGH,7987,Near End,,cardtype4,Enable,f3,,0,6,0,86400,15,-34.4,0.02553,406,512QAM(QO),FALSE
159,NEC,2019-01-02 00:00:00,FAR,R2OQ,242940,RL_IBDGH,,,,cardtype5,Enable,f4,,0,0,0,86400,0,-37.2,,407,512QAM,FALSE
160,ENK,2019-01-02 00:00:00,FAR,R2SK,322890,RL_IBDGH,7987,Near End,,cardtype4,Enable,f3,,0,0,0,86400,0,-29.7,0,406,512QAM(QO),FALSE
161,NEC,2019-01-02 00:00:00,FAR,R2TE,1345300,RL_IBDGH,,,,cardtype5,Enable,f4,,0,0,0,86400,0,-30.6,,203,512QAM,FALSE
162,NEC,2019-01-02 00:00:00,FAR,R2XQ,242940,RL_IBDGH,,,,cardtype5,Enable,f4,,0,0,0,86400,0,-37.2,,407,512QAM,FALSE
163,ENK,2019-01-02 00:00:00,FAR,R3JL,251701,RL_IBDGH,,,,cardtype4,Enable,f1,,0,0,0,86400,0,-35.4,,140,128QAM-XPIC,FALSE
164,ENK,2019-01-02 00:00:00,FAR,R3KL,251701,RL_IBDGH,,,,cardtype4,Enable,f1,,0,1,0,86400,1,-30.7,,140,128QAM-XPIC,FALSE
165,ENK,2019-01-02 00:00:00,FAR,R3KN,322894,RL_IBDGH,7986,Near End,,cardtype4,Enable,f2,,0,0,0,86400,0,-45.7,0,160,128QAM,FALSE
166,ENK,2019-01-02 00:00:00,FAR,R3LN,322895,RL_IBDGH,7986,Near End,,cardtype4,Enable,f2,,0,0,0,86400,0,-46,0,180,256QAM,FALSE
167,ENK,2019-01-02 00:00:00,FAR,R2BU,152153,RL_IBDJ>,,,,cardtype2,Enable,f3,,0,0,0,86400,0,-39.8,,327,128QAM,FALSE
168,ENK,2019-01-02 00:00:00,FAR,R2BW,229456,RL_IBDJ>,,,,cardtype1,Enable,f1,,0,0,0,86400,0,-44.2,,87,256QAM,FALSE
169,ENK,2019-01-02 00:00:00,FAR,R2CJ,146609,RL_IBDJ>,,,,cardtype4,Disable,f3,,0,0,0,86400,0,-38.2,,72,128QAM,FALSE
170,ENK,2019-01-02 00:00:00,FAR,R2ER,344670,RL_IBDJ>,7943,Near End,,cardtype4,Enable,f5,,0,0,0,86400,0,-39.8,0,406,512QAM,FALSE
171,NEC,2019-01-02 00:00:00,NEAR,R2QO,242940,RL_IBDJ>,,,,cardtype5,Enable,f4,,0,0,0,86400,0,-37.7,,407,512QAM,FALSE
172,NEC,2019-01-02 00:00:00,NEAR,R2QX,242940,RL_IBDJ>,,,,cardtype5,Enable,f4,,0,0,0,86400,0,-37.7,,407,512QAM,FALSE
173,NEC,2019-01-02 00:00:00,FAR,R2VO,346168,RL_IBDJ>,,,,cardtype5,Enable,f3,,0,0,0,86400,0,-34.1,,407,512QAM,FALSE
174,NEC,2019-01-02 00:00:00,FAR,R2WO,346168,RL_IBDJ>,,,,cardtype5,Enable,f3,,0,0,0,86400,0,-34.1,,407,512QAM,FALSE
175,ENK,2019-01-02 00:00:00,NEAR,R2LG,305087,RL_IBDSP,,,,cardtype1,Enable,f5,,0,0,0,86400,0,-36.3,,406,512QAM(QO),FALSE
176,ENK,2019-01-02 00:00:00,FAR,R3ZB,355257,RL_IBDSP,7751,Near End,,cardtype4,Enable,f3,,0,0,0,86400,0,-36.3,0.00382,406,512QAM(QO),FALSE
177,ENK,2019-01-02 00:00:00,NEAR,R2HC,229234,RL_IBEGJ,7845,Near End,,cardtype1,Enable,f2,,0,0,0,86400,0,-42,0.00546,200,512QAM,FALSE
178,ENK,2019-01-02 00:00:00,NEAR,R2VS,330969,RL_IBEJU,7822,Near End,,cardtype1,Enable,f5,,0,0,0,86400,0,-39.8,0,160,128QAM,FALSE
179,NEC,2019-01-02 00:00:00,FAR,R2DC,327592,RL_IBEKE,,,,cardtype5,Enable,f3,,0,0,0,86400,0,-37.5,,203,512QAM,FALSE
180,NEC,2019-01-02 00:00:00,NEAR,R2OV,346168,RL_IBEKE,,,,cardtype5,Enable,f3,,0,0,0,86400,0,-35.8,,407,512QAM,FALSE
181,NEC,2019-01-02 00:00:00,NEAR,R2OW,346168,RL_IBEKE,,,,cardtype5,Enable,f3,,0,0,0,86400,0,-35.8,,407,512QAM,FALSE
182,NEC,2019-01-02 00:00:00,FAR,R3OH,340595,RL_IBEKE,,,,cardtype5,Enable,f3,,0,0,0,86400,0,-38.5,,158,128QAM,FALSE
183,ENK,2019-01-02 00:00:00,NEAR,R3ZJ,347279,RL_IBEME,,,,cardtype2,Enable,f3,,0,0,0,86400,0,-39.5,,95,16QAM,FALSE
184,ENK,2019-01-02 00:00:00,NEAR,R3BS,1367652,RL_IBEQE,10414,Near End,,cardtype1,Enable,f3,,0,0,0,36000,0,-32.5,0,406,512QAM,FALSE
185,ENK,2019-01-02 00:00:00,NEAR,R2IB,146908,RL_IBFJF,,,,cardtype2,Enable,f3,,0,0,0,36000,0,-35.4,,94,16QAM,FALSE
186,ENK,2019-01-02 00:00:00,NEAR,R2QU,217905,RL_IBFKF,,,,cardtype2,Enable,f3,,0,0,0,86400,0,-29.1,,91,16QAM,FALSE
187,ENK,2019-01-02 00:00:00,NEAR,R2NJ,170011,RL_IBHGO,8564,Near End,,cardtype4,Enable,f3,,0,3,17,86383,146,-36,0.22845,406,512QAM(QO),FALSE
188,NEC,2019-01-02 00:00:00,FAR,R2NZ,333439,RL_IBHGO,,,,cardtype5,Enable,f3,,0,0,0,86400,0,-41.8,,407,512QAM,FALSE
189,NEC,2019-01-02 00:00:00,FAR,R2VY,333447,RL_IBHGO,,,,cardtype5,Enable,f4,,0,0,0,86400,0,-41.3,,158,128QAM,FALSE
190,ENK,2019-01-02 00:00:00,FAR,R2CU,302564,RL_IBHMI,7997,Near End,,cardtype4,Enable,f4,,0,0,0,86400,0,-33.2,0.00394,406,512QAM(QO),FALSE
191,ENK,2019-01-02 00:00:00,FAR,R2GE,313710,RL_IBHMI,,,,cardtype4,Enable,f3,,0,0,0,86400,0,-34.7,,406,512QAM(QO),FALSE
192,ENK,2019-01-02 00:00:00,FAR,R2VG,249525,RL_IBHMI,7997,Near End,,cardtype4,Enable,f3,,1,20,0,86400,46,-46,0.02438,406,512QAM(QO),FALSE
193,ENK,2019-01-02 00:00:00,FAR,R2VJ,259487,RL_IBHMI,7997,Near End,,cardtype4,Enable,f3,,0,1,0,86400,18,-39.8,0,369,256QAM,FALSE
194,ENK,2019-01-02 00:00:00,FAR,R2WH,249525,RL_IBHMI,7997,Near End,,cardtype4,Enable,f3,,0,8,0,86400,14,-43.8,0.00136,406,512QAM(QO),FALSE
195,ENK,2019-01-02 00:00:00,FAR,R2ZF,258058,RL_IBHMI,,,,cardtype4,Enable,f3,,0,0,0,86400,0,-34.7,,406,512QAM,FALSE
196,ENK,2019-01-02 00:00:00,NEAR,R3AF,272064,RL_IBHMI,7997,Near End,,cardtype1,Enable,f2,,0,0,0,86400,0,-40.1,0.11315,200,512QAM(QO),FALSE
197,ENK,2019-01-02 00:00:00,NEAR,R3AH,272064,RL_IBHMI,7997,Near End,,cardtype1,Enable,f2,,0,0,0,86400,0,-39.8,0.36497,200,512QAM(QO),FALSE
198,NEC,2019-01-02 00:00:00,FAR,R3DB,338477,RL_IBHMI,,,,cardtype5,Enable,f5,,0,0,0,86400,0,-31.7,,407,512QAM,FALSE
199,ENK,2019-01-02 00:00:00,FAR,R3JR,263814,RL_IBHMI,7997,Near End,,cardtype1,Enable,f1,,0,0,0,86400,0,-45.7,0,87,256QAM,FALSE
200,ENK,2019-01-02 00:00:00,FAR,R3KR,263814,RL_IBHMI,7997,Near End,,cardtype1,Enable,f1,,0,0,0,86400,0,-44.8,0,107,1024 QAM,FALSE
201,ENK,2019-01-02 00:00:00,FAR,R3RD,357096,RL_IBHMI,,,,cardtype4,Enable,f3,,0,0,0,86400,0,-53.3,,406,512QAM(QO),FALSE
202,ENK,2019-01-02 00:00:00,NEAR,R2KG,157157,RL_IBHSI,7865,Near End,,cardtype2,Enable,f5,,0,0,0,86400,0,-27.8,0,325,128QAM,FALSE
203,NEC,2019-01-02 00:00:00,NEAR,R2CS,351884,RL_IBHSO,,,,cardtype5,Enable,f5,,0,0,0,86400,0,-40,,447,1024 QAM,FALSE
204,NEC,2019-01-02 00:00:00,NEAR,R2DG,301232,RL_IBIAQ,,,,cardtype5,Enable,f5,,0,0,0,86400,0,-36.7,,203,512QAM,FALSE
205,NEC,2019-01-02 00:00:00,NEAR,R2DU,301232,RL_IBIAQ,,,,cardtype5,Enable,f5,,0,0,0,86400,0,-36.7,,203,512QAM,FALSE
206,ENK,2019-01-02 00:00:00,NEAR,R2FX,323103,RL_IBIQQ,,,,cardtype2,Disable,f5,,0,1,0,86400,4,-39.8,,72,128QAM,FALSE
207,ENK,2019-01-02 00:00:00,NEAR,R2ZJ,198848,RL_IBJCC,7790,Near End,,cardtype1,Enable,f3,,0,0,0,86400,0,-39.8,0.06814,406,512QAM,FALSE
208,NEC,2019-01-02 00:00:00,NEAR,R3AT,339532,RL_IBJLB,,,,cardtype5,Enable,f4,,0,0,0,86400,0,-32,,99,512QAM,FALSE
209,ENK,2019-01-02 00:00:00,FAR,R2BY,300786,RL_IBJQQ,8005,Near End,,cardtype4,Enable,f3,,0,0,0,86400,0,-35.4,0,406,512QAM(QO),FALSE
210,ENK,2019-01-02 00:00:00,FAR,R2MN,301359,RL_IBJQQ,8005,Near End,,cardtype4,Enable,f4,,0,0,0,86400,0,-39.8,0,406,512QAM(QO),FALSE
211,ENK,2019-01-02 00:00:00,FAR,R2RN,301359,RL_IBJQQ,8005,Near End,,cardtype4,Enable,f4,,0,0,0,86400,0,-39.1,0,406,512QAM(QO),FALSE
212,ENK,2019-01-02 00:00:00,FAR,R3FA,272064,RL_IBJQQ,8005,Near End,,cardtype1,Enable,f2,,0,0,0,86400,0,-39.1,0.00059,200,512QAM(QO),FALSE
213,ENK,2019-01-02 00:00:00,FAR,R3HA,272064,RL_IBJQQ,8005,Near End,,cardtype1,Enable,f2,,0,0,0,86400,0,-38.8,0.00199,200,512QAM(QO),FALSE
214,ENK,2019-01-02 00:00:00,NEAR,R3LJ,251701,RL_IBJQQ,,,,cardtype4,Enable,f1,,0,0,0,86400,0,-37.6,,140,128QAM-XPIC,FALSE
215,ENK,2019-01-02 00:00:00,NEAR,R3NK,322894,RL_IBJQQ,8005,Near End,,cardtype4,Enable,f2,,0,0,0,86400,0,-44.5,0,160,128QAM,FALSE
216,ENK,2019-01-02 00:00:00,NEAR,R3NL,322895,RL_IBJQQ,8005,Near End,,cardtype4,Enable,f2,,0,7,0,86400,15,-46,0,180,256QAM,FALSE
217,ENK,2019-01-02 00:00:00,NEAR,R2ZM,212021,RL_IBL?E,,,,cardtype4,Enable,f1,,0,0,0,86400,0,-39.8,,87,256QAM,FALSE
218,ENK,2019-01-02 00:00:00,NEAR,R2WS,345259,RL_IBL?I,7887,Near End,,cardtype1,Enable,f5,,0,0,0,86400,0,-29.7,0,84,256QAM,FALSE
219,ENK,2019-01-02 00:00:00,NEAR,R2VU,350866,RL_IBLCJ,,,,cardtype4,Disable,f4,,0,0,0,86400,0,-39.8,,406,512QAM(QO),FALSE
220,ENK,2019-01-02 00:00:00,FAR,R2AL,301235,RL_IBLCP,9755,Near End,,cardtype4,Enable,f3,,0,0,0,36000,0,-30.7,0,84,256QAM,FALSE
221,ENK,2019-01-02 00:00:00,FAR,R2CW,150873,RL_IBLCP,9755,Near End,,cardtype4,Enable,f3,,0,0,0,36000,0,-26,0,406,512QAM,FALSE
222,ENK,2019-01-02 00:00:00,FAR,R2JZ,198848,RL_IBLCP,9755,Near End,,cardtype1,Enable,f3,,0,0,0,36000,0,-39.8,0,406,512QAM,FALSE
223,NEC,2019-01-02 00:00:00,NEAR,R2NY,346652,RL_IBLCP,,,,cardtype5,Enable,f3,,0,0,0,86400,0,-39.2,,407,512QAM,FALSE
224,NEC,2019-01-02 00:00:00,NEAR,R2XV,346652,RL_IBLCP,,,,cardtype5,Enable,f3,,0,0,0,86400,0,-39.2,,407,512QAM,FALSE
225,ENK,2019-01-02 00:00:00,NEAR,R2MG,300456,RL_IBLCV,7932,Near End,,cardtype1,Enable,f3,,0,0,0,86400,0,-39.8,0,406,512QAM,FALSE
226,NEC,2019-01-02 00:00:00,NEAR,R3IO,304219,RL_IBLCV,,,,cardtype5,Enable,f4,,0,0,0,86400,0,-30,,407,512QAM,FALSE
227,NEC,2019-01-02 00:00:00,NEAR,R3OS,304219,RL_IBLCV,,,,cardtype5,Enable,f4,,0,0,0,86400,0,-30,,407,512QAM,FALSE
