,site_id,groundheight,clutter_class
460,RL_KKC@I,361.9937,SPARSE TREE
461,RL_KMB@W,158.0063,OPEN LAND
462,RL_KMBNI,2204.0471,OPEN LAND
463,RL_KMBQH,949.9894,SPARSE TREE
464,RL_KMBQO,1559.9998,DENSE TREE
465,RL_KMC?@,1,SPARSE TREE
466,RL_KMCWM,2041.9814,BUILTUP-VILLAGE
467,RL_KMD?H,76.9734,OPEN LAND
468,RL_KMDNQ,247.0019,OPEN LAND
469,RL_KMELJ,923.9933,SPARSE TREE
470,RL_KMGCP,1921.9934,BUILTUP-VILLAGE
471,RL_KMHCA,1114.0068,SPARSE TREE
472,RL_KMJSE,896.9823,OPEN LAND
473,RL_KMLMH,633.04,SPARSE TREE
474,RL_KMLPA,1930.9711,OPEN LAND
475,RL_KMLSA,2077.0332,OPEN LAND
476,RL_KMLW@,889956,INDUSTRIAL & COMMERCIAL
477,RL_KMMGP,2146.9807,OPEN LAND
478,RL_KMNSW,11.0074,LOW-SPARSE URBAN
479,RL_KMT?O,2077.0332,OPEN LAND
480,RL_KMTMM,20297,OPEN LAND
481,RL_KMTNA,1594.0367,OPEN LAND
482,RL_KMTQ.,214.9947,OPEN LAND
483,RL_KMU@P,1.0149,OPEN IN URBAN
484,RL_KMUI>,1597.0033,OPEN LAND
485,RL_KMUI@,737.0244,OPEN LAND
486,RL_KMZ@P,1988.0376,OPEN LAND
487,RL_L7GJL,20297,LOW-DENSE URBAN
488,RL_L7H@P,998.0002,DENSE TREE
489,RL_L7HCI,952.0191,OPEN LAND
490,RL_L7HJ@,988.0077,DENSE TREE
491,RL_L7HMI,10149,OPEN IN URBAN
492,RL_L7L?S,189701,OPEN LAND
493,RL_L7LA>,249812,OPEN IN URBAN
494,RL_L7LK>,110074,OPEN IN URBAN
495,RL_L7LQB,359886,OPEN IN URBAN
496,RL_L7LSI,365975,BUILTUP-VILLAGE
497,RL_L7NCO,59955,AVERAGE-DENSE URBAN
498,RL_L7NJ>,11.0074,AVERAGE-DENSE URBAN
499,RL_L7O?W,39814,DENSE TREE
500,RL_L7SG@,1,BUILTUP-VILLAGE
501,RL_L7TCS,10149,OPEN IN URBAN
502,RL_L7TMD,39814,SPARSE TREE
503,RL_L7UCH,20297,OPEN IN URBAN
504,RL_L7USO,609698,OPEN IN URBAN
505,RL_L7WQH,60111,OPEN IN URBAN
506,RL_L7WWR,7026,SPARSE TREE
507,RL_L8U?P,576.9883,DENSE TREE
508,RL_L;DGH,30.9923,OPEN IN URBAN
509,RL_L;NAD,1.0149,LOW-DENSE URBAN
510,RL_L;NIB,177.9913,SPARSE TREE
511,RL_L;NPB,45.0443,LOW-MEDIUM URBAN
512,RL_L;NSD,103.9844,GREEN HOUSE
513,RL_L;OIQ,44.9662,LOW-DENSE URBAN
514,RL_L;OQF,690107,SPARSE TREE
515,RL_L;S?H,736.0095,SPARSE TREE
516,RL_L;SC@,311.0163,DENSE TREE
517,RL_L;SEL,628.9805,DENSE TREE
518,RL_L;SLM,753.028,DENSE TREE
519,RL_L;SRP,601.9696,DENSE TREE
520,RL_L=OA>,744.9871,OPEN LAND
521,RL_L?BIH,1290437,BUILTUP-VILLAGE
522,RL_L?D?M,20297,LOW-DENSE URBAN
523,RL_L?D?O,290407,LOW-DENSE URBAN
524,RL_L?DMH,450443,LOW-MEDIUM URBAN
525,RL_L?E?H,2509833,DENSE TREE
526,RL_L?E?K,430146,LOW-DENSE URBAN
527,RL_L?E?V,29665,LOW-DENSE URBAN
528,RL_L?EAJ,259961,INDUSTRIAL & COMMERCIAL
529,RL_L?EAQ,390332,LOW-DENSE URBAN
530,RL_L?EAR,309923,LOW-DENSE URBAN
531,RL_L?EAS,390332,AVERAGE-DENSE URBAN
532,RL_L?ECP,180333,AVERAGE-DENSE URBAN
533,RL_L?EGJ,29665,AVERAGE-DENSE URBAN
534,RL_L?EGK,189701,LOW-DENSE URBAN
535,RL_L?EK>,249812,OPEN IN URBAN
536,RL_L?EKP,160036,OPEN LAND
537,RL_L?ELW,489476,OPEN LAND
538,RL_L?EQL,230296,AVERAGE-DENSE URBAN
539,RL_L?ERJ,700255,OPEN IN URBAN
540,RL_L?EWB,850143,OPEN IN URBAN
541,RL_L?GCS,149887,LOW-DENSE URBAN
542,RL_L?H?V,149887,OPEN IN URBAN
543,RL_L?HMP,19985,HIGH-DENSE URBAN
544,RL_L?N?S,320072,OPEN IN URBAN
545,RL_L?NA>,212.0282,DENSE TREE
546,RL_L?NCJ,99925,AVERAGE-MEDIUM URBAN
547,RL_L?NCK,349737,OPEN IN URBAN
548,RL_L?NMA,13.9739,LOW-DENSE URBAN
549,RL_L?OAL,16.0036,HIGH-DENSE URBAN
550,RL_L?T?M,130371,LOW-MEDIUM URBAN
551,RL_L?TGQ,249812,OPEN IN URBAN
552,RL_L?TMA,49962,AVERAGE-DENSE URBAN
553,RL_L?WCO,320072,AVERAGE-DENSE URBAN
554,RL_L?Z?V,390332,OPEN LAND
555,RL_LCCCV,72.0552,OPEN LAND
556,RL_LEHSD,49.0257,AVERAGE-MEDIUM URBAN
557,RL_LELK>,74.0069,AVERAGE-DENSE URBAN
558,RL_LEMA@,9.9925,LOW-DENSE URBAN
559,RL_LET?I,301.9606,LOW-DENSE URBAN
560,RL_LETAM,305.0052,OPEN LAND
561,RL_LETJQ,296.0276,INDUSTRIAL & COMMERCIAL
562,RL_LETWB,290.0165,INDUSTRIAL & COMMERCIAL
563,RL_LEZP>,70.0255,LOW-DENSE URBAN
564,RL_LHUEJ,1133.9917,DENSE TREE
565,RL_LKBAV,271.0464,DENSE TREE
566,RL_LKEQI,92.0402,OPEN IN URBAN
567,RL_LK[WO,617.0364,DENSE TREE
568,RL_LPD?J,286.9719,DENSE TREE
569,RL_M7LAV,1106.0441,OPEN LAND
570,RL_M9HP>,2.0297,OPEN IN URBAN
571,RL_M9JLB,1509803,DENSE TREE
572,RL_M<U?I,4.9962,HIGH-DENSE URBAN
573,RL_M=FKJ,469959,AVERAGE-DENSE URBAN
574,RL_MADQQ,305.0052,OPEN IN URBAN
575,RL_MBC?V,1036.9553,BUILTUP-VILLAGE
576,RL_MBHMI,1159.9878,OPEN LAND
577,RL_MBN?>,1093.007,LOW-DENSE URBAN
578,RL_MBN@I,1320.0239,SPARSE TREE
579,RL_MBNDF,1085.0442,LOW-MEDIUM URBAN
580,RL_MBNWB,1110.9622,OPEN LAND
581,RL_MBWGP,1152.9619,OPEN LAND
582,RL_MFICP,130371,INDUSTRIAL & COMMERCIAL
583,RL_MHC?V,129.9805,LOW-DENSE URBAN
584,RL_MHCCV,519922,GREEN HOUSE
585,RL_MHEM.,72.992,OPEN IN URBAN
586,RL_MHFK>,108.9806,LOW-DENSE URBAN
587,RL_MHLCP,49.9625,LOW-MEDIUM URBAN
588,RL_MHLMV,101.9547,AVERAGE-DENSE URBAN
589,RL_MHNAJ,49.0257,DENSE TREE
590,RL_MIJPL,442.0117,OPEN LAND
591,RL_MJFNB,1143.9843,SPARSE TREE
592,RL_MOVT>,1028.9926,OPEN LAND
593,RL_N7MBF,46.9959,OPEN IN URBAN
594,RL_N7MCW,38.0183,AVERAGE-DENSE URBAN
595,RL_N;OPI,49.0257,SPARSE TREE
596,RL_N?CMI,145.0473,SPARSE TREE
597,RL_N?OGH,3.0446,AVERAGE-MEDIUM URBAN
598,RL_N?OQF,3.9814,DENSE TREE
599,RL_N?OQQ,1291.998,SPARSE TREE
600,RL_N?ORR,27.011,BUILTUP-VILLAGE
601,RL_N?S?Q,669809,AVERAGE-DENSE URBAN
602,RL_N?T?E,3.9814,DENSE TREE
603,RL_N?ZCP,53.007,DENSE TREE
604,RL_NCPMK,33.9589,LOW-SPARSE URBAN
605,RL_NDBI@,1.0149,DENSE TREE
606,RL_NMFX>,20.9998,OPEN LAND
607,RL_O7LMO,3.0446,GREEN HOUSE
608,RL_O7NM?,16.0036,AVERAGE-DENSE URBAN
609,RL_O7T?K,60.033,SPARSE TREE
610,RL_O7T?W,366.9899,OPEN LAND
611,RL_O7[?Q,1357.9641,DENSE TREE
612,RL_O7[@R,61.9847,OPEN IN URBAN
613,RL_O7[AJ,27.011,DENSE TREE
614,RL_O7[AL,342.0087,OPEN LAND
615,RL_O7[CV,507.9777,OPEN LAND
616,RL_O7[F>,34.9737,LOW-DENSE URBAN
617,RL_O7[GI,81.0329,GREEN HOUSE
618,RL_O7[GM,19.985,AVERAGE-DENSE URBAN
619,RL_O7[GP,85.0143,OPEN LAND
620,RL_O9LIV,459.9669,OPEN LAND
621,RL_O9T?E,10149,AVERAGE-DENSE URBAN
622,RL_O:HKR,963.9633,SPARSE TREE
623,RL_O:VKR,906.9748,OPEN LAND
624,RL_O;CGW,238.9611,DENSE TREE
625,RL_O;DGQ,831.0163,SPARSE TREE
626,RL_O;DKB,1306.9868,OPEN LAND
627,RL_O;ECI,901.9786,DENSE TREE
628,RL_O;MGK,474.0189,DENSE TREE
629,RL_O;SB>,412971,SPARSE TREE
630,RL_O;SGP,962.9484,OPEN LAND
631,RL_O;SKB,565981,OPEN LAND
632,RL_O?N?J,422.0267,DENSE TREE
633,RL_OEDCO,146.9989,LOW-DENSE URBAN
634,RL_OELIR,87.044,OPEN IN URBAN
635,RL_OELKE,165.9691,OPEN IN URBAN
636,RL_OEM?J,1.0149,LOW-MEDIUM URBAN
637,RL_OEMAV,187.9838,DENSE TREE
638,RL_OEN@B,1298.0092,OPEN LAND
639,RL_OENRS,1451.9559,DENSE TREE
640,RL_OESGU,6.0111,LOW-MEDIUM URBAN
641,RL_OEZEF,2.9665,DENSE TREE
642,RL_OEZKB,64.0144,DENSE TREE
643,RL_OEZLH,1.0149,HIGH-DENSE URBAN
644,RL_OEZMO,3.9814,OPEN IN URBAN
645,RL_OEZNO,2.0297,HIGH-DENSE URBAN
646,RL_OHJB>,39.97,LOW-SPARSE URBAN
647,RL_OHLMV,2750277,OPEN LAND
648,RL_OHNCK,569884,LOW-DENSE URBAN
649,RL_OKMBD,6990061,DENSE TREE
650,RL_OKMPI,1584.9811,OPEN LAND
651,RL_OKNWH,419997,OPEN LAND
652,RL_OKOA>,1143.9843,OPEN LAND
653,RL_OKOCJ,67.9958,LOW-DENSE URBAN
654,RL_OKS?I,2.9665,AVERAGE-MEDIUM URBAN
655,RL_OKSMJ,8.9776,LOW-DENSE URBAN
656,RL_OKSMP,20297,OPEN IN URBAN
657,RL_OK[?Q,209998,AVERAGE-DENSE URBAN
658,RL_OK[B>,39814,OPEN LAND
659,RL_OK[C?,49.9625,LOW-MEDIUM URBAN
660,RL_OK[CJ,39814,OPEN LAND
661,RL_OK[MI,49.9625,GREEN HOUSE
662,RL_OPDGJ,700.0209,OPEN LAND
663,RL_OPJL>,759.9759,DENSE TREE
664,RL_OPN?E,134.0399,OPEN LAND
665,RL_OPNPH,25.9961,AVERAGE-DENSE URBAN
666,RL_OPPJH,53.007,GREEN HOUSE
667,RL_OPTCI,1.0149,LOW-DENSE URBAN
668,RL_OPTGS,1563.0444,OPEN LAND
669,RL_OPU?S,22.0147,LOW-DENSE URBAN
670,RL_P7CCO,6.0111,AVERAGE-MEDIUM URBAN
671,RL_P7CK>,109.9955,INDUSTRIAL & COMMERCIAL
672,RL_P7D@>,1.0149,HIGH-DENSE URBAN
673,RL_P7DGP,43.0146,GREEN HOUSE
674,RL_P7DI>,1978.0452,OPEN LAND
675,RL_P7NQH,1316.0425,OPEN LAND
676,RL_P7QNV,4.9962,HIGH-DENSE URBAN
677,RL_P7SPV,3.9814,HIGH-ISOLATED-BUILDINGS
678,RL_P7T@E,46.9959,DENSE TREE
679,RL_P7TE?,561.9996,DENSE TREE
680,RL_P7WJJ,54.0219,INDUSTRIAL & COMMERCIAL
681,RL_P7WT>,8.0408,HIGH-MEDIUM URBAN
682,RL_P7Z@>,537.0184,OPEN LAND
683,RL_P7ZPQ,423.9783,SPARSE TREE
684,RL_P?EGO,1440.9486,BUILTUP-VILLAGE
685,RL_PEMJV,23.0296,OPEN LAND
686,RL_PESKO,1029695,LOW-DENSE URBAN
687,RL_PIBPO,967.0079,BUILTUP-VILLAGE
688,RL_PIZSO,19.0482,GREEN HOUSE
689,RL_PKTLR,83.9994,AVERAGE-MEDIUM URBAN
690,RL_Q8L?S,9470229,OPEN LAND
691,RL_Q8SMO,1083.0144,SPARSE TREE
692,RL_Q9BGO,59.0182,INDUSTRIAL & COMMERCIAL
693,RL_Q9ICP,1434.0007,OPEN LAND
694,RL_QBNCS,20297,OPEN IN URBAN
695,RL_QCS?E,946.008,OPEN LAND
696,RL_QDBA>,299775,LOW-MEDIUM URBAN
697,RL_QDCC@,12.0222,AVERAGE-DENSE URBAN
698,RL_QDDMQ,609698,OPEN LAND
699,RL_QDDQI,370034,SPARSE TREE
700,RL_QDNCO,440294,AVERAGE-DENSE URBAN
701,RL_QDTGO,3299865,OPEN LAND
702,RL_QIBDH,5879957,OPEN LAND
703,RL_R7D?O,24.9812,LOW-DENSE URBAN
704,RL_REZNB,3.9814,LOW-DENSE URBAN
705,RL_RKTRF,4.9962,LOW-MEDIUM URBAN
706,RL_S7E?S,629.9954,OPEN LAND
707,RL_S7EG>,51.9922,INDUSTRIAL & COMMERCIAL
708,RL_S7EGW,9.9925,OPEN IN URBAN
709,RL_S7ENI,12.0222,SPARSE TREE
710,RL_S7EP>,49.9625,OPEN LAND
711,RL_S7EPV,4.9962,OPEN LAND
712,RL_S7HJR,521.0148,BUILTUP-VILLAGE
713,RL_S7HSI,560.9847,DENSE TREE
714,RL_S7HSO,563.9513,OPEN LAND
715,RL_S7MAS,38.0183,LOW-DENSE URBAN
716,RL_S7MG@,33.9589,AVERAGE-DENSE URBAN
717,RL_S7MI>,523.0446,DENSE TREE
718,RL_S7MIH,95.0067,LOW-DENSE URBAN
719,RL_S7MIJ,123.9694,OPEN LAND
720,RL_S7MQ>,1246.017,DENSE TREE
721,RL_S7MRQ,9.0557,AVERAGE-MEDIUM URBAN
722,RL_S7MRS,22.0147,OPEN LAND
723,RL_S7MWB,1.0149,BUILTUP-VILLAGE
724,RL_S7N@R,110074,OPEN IN URBAN
725,RL_S7NI>,20297,LOW-DENSE URBAN
726,RL_S7QFM,201.0208,SPARSE TREE
727,RL_S7QG@,112.0252,BUILTUP-VILLAGE
728,RL_S7QPF,49962,AVERAGE-DENSE URBAN
729,RL_S7S?D,1421.9785,SPARSE TREE
730,RL_S7S?W,197.9763,SPARSE TREE
731,RL_S7SGH,58.0033,AVERAGE-DENSE URBAN
732,RL_S7SGW,130371,HIGH-DENSE URBAN
733,RL_S7SJH,758.0242,SPARSE TREE
734,RL_S7SMW,904.9451,SPARSE TREE
735,RL_S7SS?,437.0154,OPEN LAND
736,RL_S7TA>,867.0049,DENSE TREE
737,RL_S7TCL,25.9961,LOW-DENSE URBAN
738,RL_S7TEL,862.0086,OPEN LAND
739,RL_S7TF@,85.0143,LOW-DENSE URBAN
740,RL_S7TIB,962.0116,SPARSE TREE
741,RL_S7TMO,807.9867,DENSE TREE
742,RL_S7TNI,1,SPARSE TREE
743,RL_S7TPI,1173.9617,SPARSE TREE
744,RL_S7TQ>,534.9886,BUILTUP-VILLAGE
745,RL_S7TQR,135.9916,OPEN IN URBAN
746,RL_S7TRT,198.0543,SPARSE TREE
747,RL_S7TSP,76.9734,DENSE TREE
748,RL_S7TWI,74.0069,LOW-DENSE URBAN
749,RL_S7WGI,2.0297,GREEN HOUSE
750,RL_S7ZP>,13470348,DENSE TREE
751,RL_S7ZSJ,1077.0033,SPARSE TREE
752,RL_S7ZSS,526.011,OPEN LAND
753,RL_S9D?I,34.9737,SPARSE TREE
754,RL_S;C?O,7849571,DENSE TREE
755,RL_S;D?R,6.0111,AVERAGE-MEDIUM URBAN
756,RL_S;LMS,492.989,SPARSE TREE
757,RL_S;LSW,34.9737,SPARSE TREE
758,RL_S;NEV,44.9662,LOW-MEDIUM URBAN
759,RL_S;NFA,2.0297,LOW-MEDIUM URBAN
760,RL_S;NFL,1.0149,AVERAGE-MEDIUM URBAN
761,RL_S;NIB,3.9814,LOW-DENSE URBAN
762,RL_S;NIW,39.97,AVERAGE-MEDIUM URBAN
763,RL_S;NJJ,11.0074,AVERAGE-MEDIUM URBAN
764,RL_S;NPB,4.9962,AVERAGE-MEDIUM URBAN
765,RL_S;NPF,3.9814,AVERAGE-MEDIUM URBAN
766,RL_S;NRJ,7.026,OPEN IN URBAN
767,RL_S;NWK,16.0036,AVERAGE-MEDIUM URBAN
768,RL_S;Q@B,64.0144,HIGH-ISOLATED-BUILDINGS
769,RL_S;QBR,286.9719,OPEN LAND
770,RL_S;QCW,260.9758,LOW-MEDIUM URBAN
771,RL_S;QLP,98.9881,DENSE TREE
772,RL_S;QQ>,108.9806,AVERAGE-MEDIUM URBAN
773,RL_S;QQQ,72.992,INDUSTRIAL & COMMERCIAL
774,RL_S;WGK,8.9776,AVERAGE-MEDIUM URBAN
775,RL_S;Z?O,66.0441,SPARSE TREE
776,RL_S=D?H,13.0371,DENSE TREE
777,RL_S=PJC,2910313,OPEN LAND
778,RL_S?NLD,6.0111,LOW-DENSE URBAN
779,RL_S?SKO,2.0297,AVERAGE-DENSE URBAN
780,RL_S?SNF,1284.972,SPARSE TREE
781,RL_S?T?Q,9.9925,LOW-MEDIUM URBAN
782,RL_S?TAL,7.026,HIGH-DENSE URBAN
783,RL_S?[?A,6.0111,HIGH-DENSE URBAN
784,RL_S?[R>,13.0371,OPEN IN URBAN
785,RL_SABTW,1000.0299,OPEN IN URBAN
786,RL_SAPJ>,19.0482,OPEN LAND
787,RL_SBFLD,1164.9841,OPEN LAND
788,RL_SBJI>,1.0149,AVERAGE-MEDIUM URBAN
789,RL_SBL?V,106.0141,SPARSE TREE
790,RL_SBLA>,74.0069,OPEN LAND
791,RL_SBLGP,617.9732,SPARSE TREE
792,RL_SBLRQ,37.0034,LOW-DENSE URBAN
793,RL_SCNCA,29.0407,DENSE TREE
794,RL_SCP@>,1.0149,DENSE TREE
795,RL_SDJGH,11.0074,BUILTUP-VILLAGE
796,RL_SDJIH,7.9628,GREEN HOUSE
797,RL_SECJB,988.0077,INDUSTRIAL & COMMERCIAL
798,RL_SECMW,1064.9811,GREEN HOUSE
799,RL_SED?@,829845,BUILTUP-VILLAGE
800,RL_SED?O,1020327,SPARSE TREE
801,RL_SED@V,860291,SPARSE TREE
802,RL_SEDAR,4520042,SPARSE TREE
803,RL_SEDCH,5449811,OPEN LAND
804,RL_SEDTV,969.0376,LOW-SPARSE URBAN
805,RL_SEL?O,1679.9878,OPEN LAND
806,RL_SELGO,1616.9883,OPEN LAND
807,RL_SENT@,1004.0113,SPARSE TREE
808,RL_SEO?I,3.9814,HIGH-MEDIUM URBAN
809,RL_SEOAL,4.9962,AVERAGE-DENSE URBAN
810,RL_SEOCC,4.9962,AVERAGE-DENSE URBAN
811,RL_SEOKO,60.033,LOW-DENSE URBAN
812,RL_SEOPL,3.9814,LOW-DENSE URBAN
813,RL_SEORL,9.9925,LOW-DENSE URBAN
814,RL_SEQPR,291.0313,AVERAGE-DENSE URBAN
815,RL_SES?S,1553.9886,OPEN LAND
816,RL_SES@R,998.0002,OPEN LAND
817,RL_SESAL,830.0014,OPEN LAND
818,RL_SESI>,844.0533,OPEN LAND
819,RL_SESI@,1600.9846,OPEN LAND
820,RL_SESID,996.9853,OPEN LAND
821,RL_SESIF,1467.0228,OPEN LAND
822,RL_SESIQ,1158.973,DENSE TREE
823,RL_SESMP,1668.0437,OPEN LAND
824,RL_SESMW,1053.037,OPEN LAND
825,RL_SESQL,983.0115,OPEN IN URBAN
826,RL_SESQQ,1417.9971,BUILTUP-VILLAGE
827,RL_SESRL,990.9742,LOW-DENSE URBAN
828,RL_SEST>,1520.9667,OPEN LAND
829,RL_SESW>,805.0202,OPEN LAND
830,RL_SESWI,1632.9918,OPEN LAND
831,RL_SESWL,1375.9974,SPARSE TREE
832,RL_SESWW,885.975,OPEN LAND
833,RL_SETCI,74.0069,BUILTUP-VILLAGE
834,RL_SETIF,6959615,OPEN LAND
835,RL_SETIJ,690107,OPEN IN URBAN
836,RL_SEZ?S,1139769,SPARSE TREE
837,RL_SFPPQ,10149,OPEN IN URBAN
838,RL_SH21?,60.033,SPARSE TREE
839,RL_SHD?J,1200.0359,OPEN LAND
840,RL_SHD?Q,41.9997,OPEN LAND
841,RL_SHE?K,3840084,OPEN LAND
842,RL_SHEGK,1.0149,AVERAGE-DENSE URBAN
843,RL_SHLFM,1657.973,OPEN LAND
844,RL_SHPVV,2.9665,AVERAGE-DENSE URBAN
845,RL_SHQ?I,9800449,OPEN LAND
846,RL_SHUCM,9839482,OPEN LAND
847,RL_SIDSD,11.0074,SPARSE TREE
848,RL_SIDSV,32.0072,LOW-DENSE URBAN
849,RL_SIUCI,3.9814,LOW-DENSE URBAN
850,RL_SKBBO,3.9814,OPEN LAND
851,RL_SKCMV,40048,OPEN IN URBAN
852,RL_SKCWH,6.0111,LOW-DENSE URBAN
853,RL_SKD?J,3100015,OPEN LAND
854,RL_SKD?O,569884,AVERAGE-DENSE URBAN
855,RL_SKDBO,726.017,SPARSE TREE
856,RL_SKDSJ,39814,LOW-DENSE URBAN
857,RL_SKG?K,220147,OPEN IN URBAN
858,RL_SKH?@,110074,OPEN IN URBAN
859,RL_SKHGO,49962,OPEN IN URBAN
860,RL_SKHPB,160036,OPEN IN URBAN
861,RL_SKJIF,1079658,HIGH-ISOLATED-BUILDINGS
862,RL_SKL?A,60111,AVERAGE-DENSE URBAN
863,RL_SKLGO,649512,OPEN IN URBAN
864,RL_SKLMO,160036,OPEN LAND
865,RL_SKLSV,1330251,DENSE TREE
866,RL_SKM?P,679958,OPEN IN URBAN
867,RL_SKMGL,40048,HIGH-DENSE URBAN
868,RL_SKN?I,1011.9741,SPARSE TREE
869,RL_SKNAJ,121.0028,GREEN HOUSE
870,RL_SKNAV,431.0043,OPEN LAND
871,RL_SKNCI,130371,LOW-DENSE URBAN
872,RL_SKNCS,248.0168,SPARSE TREE
873,RL_SKNFI,35.9886,LOW-MEDIUM URBAN
874,RL_SKNIS,29.0407,AVERAGE-MEDIUM URBAN
875,RL_SKNJ@,25.9961,AVERAGE-DENSE URBAN
876,RL_SKNJJ,27.011,AVERAGE-MEDIUM URBAN
877,RL_SKNM?,3.9814,DENSE TREE
878,RL_SKNMA,1210028,OPEN IN URBAN
879,RL_SKNQK,7.026,GREEN HOUSE
880,RL_SKNQR,5590331,OPEN LAND
881,RL_SKNRI,29.9775,AVERAGE-MEDIUM URBAN
882,RL_SKNRS,258.9461,DENSE TREE
883,RL_SKNWI,360.042,GREEN HOUSE
884,RL_SKOBB,4.9962,HIGH-MEDIUM URBAN
885,RL_SKOMW,2.0297,BUILTUP-VILLAGE
886,RL_SKQ?J,850143,OPEN LAND
887,RL_SKQGK,679958,DENSE TREE
888,RL_SKT?K,779883,INDUSTRIAL & COMMERCIAL
889,RL_SKTAJ,480108,AVERAGE-DENSE URBAN
890,RL_SKTCM,10149,AVERAGE-DENSE URBAN
891,RL_SKTCQ,1,OPEN IN URBAN
892,RL_SKTEO,49962,DENSE TREE
893,RL_SKTGI,10149,AVERAGE-DENSE URBAN
894,RL_SKTGK,10149,AVERAGE-DENSE URBAN
895,RL_SKTIH,320072,SPARSE TREE
896,RL_SKTIL,309923,OPEN IN URBAN
897,RL_SKTKB,139739,LOW-DENSE URBAN
898,RL_SKTMC,419997,AVERAGE-DENSE URBAN
899,RL_SKTMD,2079688,OPEN LAND
900,RL_SKTN>,790031,AVERAGE-DENSE URBAN
901,RL_SKTRA,25,
902,RL_SKTRJ,1500435,OPEN LAND
903,RL_SKTRS,3120312,OPEN LAND
904,RL_SKTSO,419997,OPEN IN URBAN
905,RL_SKTW>,120222,OPEN IN URBAN
906,RL_SKUSO,370034,HIGH-DENSE URBAN
907,RL_SKZFH,13300164,DENSE TREE
908,RL_SKZRS,1640174,SPARSE TREE
909,RL_SKZW>,10620146,OPEN LAND
910,RL_SK[GO,1850172,AVERAGE-DENSE URBAN
911,RL_SK[KO,20.9998,LOW-MEDIUM URBAN
912,RL_SMQ?I,6.0111,HIGH-DENSE URBAN
913,RL_SOBXO,911.9711,SPARSE TREE
914,RL_SPBPP,58.0033,DENSE TREE
915,RL_T7L?J,2.9665,SPARSE TREE
916,RL_T7OAL,2.9665,AVERAGE-MEDIUM URBAN
917,RL_T7S@B,2.0297,OPEN IN URBAN
918,RL_T?M?E,4.9962,AVERAGE-DENSE URBAN
919,RL_T?NP>,4.9962,LOW-DENSE URBAN
920,RL_TOLG>,6.0111,AVERAGE-DENSE URBAN
921,RL_TOS?E,6.0111,LOW-DENSE URBAN
922,RL_U7DCP,1.0149,HIGH-DENSE URBAN
923,RL_U7DCQ,6.0111,HIGH-DENSE URBAN
924,RL_U7DK>,702.9874,BUILTUP-VILLAGE
925,RL_U7DQ>,1471.0042,BUILTUP-VILLAGE
926,RL_U7DQR,332.0162,LOW-DENSE URBAN
927,RL_U7DRS,606.9658,DENSE TREE
928,RL_U7LI>,18.0333,LOW-MEDIUM URBAN
929,RL_U7O?A,8.9776,LOW-DENSE URBAN
930,RL_U7O?H,464.0264,DENSE TREE
931,RL_U7O@E,1.0149,LOW-DENSE URBAN
